route_id,service_id,trip_id,trip_headsign,direction_id,block_id
58,28,5452539,Mt Vernon,0,174
7,23,2502549,East Oak Harbor,0,107
25,24,3502549,SB Oak Harbor,0,77
25,24,3452549,NB Deception Pass,0,77
42,23,2951729,SB Clinton via Langley,0,124
25,23,2602549,SB Oak Harbor,0,107
58,25,1353369,Camano,0,166
58,25,1303369,Mt Vernon,0,166
9,23,2451749,West Oak Harbor,0,103
4,23,3201749,Northbound Oak Harbor,0,118
35,28,4951739,West Beach/Keystone,0,130
35,23,2751749,West Beach/Keystone,0,130
46,28,5151739,Scatchet/Langley,0,125
54,23,3101749,City Shuttle,0,103
35,28,4901729,West Beach/Keystone,0,130
19,28,4600939,,0,112
42,28,5001729,,0,113
11,24,3353369,Mt Vernon,0,84
57,28,5351729,Stanwood,0,167
64,28,5501729,Terry's Corner,0,168
64,28,5551729,Everett Station,0,168
11,24,3403369,Whidbey,0,84
58,26,1652549,Camano,0,161
35,23,2802559,West Beach/Keystone,0,130
1,24,3550949,Northbound Oak Harbor,0,77
57,25,1252559,Stanwood,0,167
64,25,2052559,Terry's Corner,0,169
21,23,3251759,Southbound Clinton Ferry,0,114
42,28,5052549,,0,128
11,28,4703369,Mt Vernon,0,131
58,28,5403369,Camano,0,172
11,23,3853369,Mt Vernon,0,101
58,28,5453369,Mt Vernon,0,172
58,26,1602549,Mt Vernon,0,161
25,24,3453379,NB Deception Pass,0,77
50,28,5201739,City Shuttle,0,102
58,26,1653379,Camano,0,162
58,25,1354199,Camano,0,174
58,25,1304199,Mt Vernon,0,174
46,23,3051669,Scatchet,0,125
42,23,2952559,SB Clinton via Langley,0,126
19,23,2351669,Southbound Clinton Ferry,0,113
42,23,2903379,NB Freeland via Langley,0,113
7,23,2503379,East Oak Harbor,0,110
25,24,3503379,SB Oak Harbor,0,147
46,23,3002569,Scatchet/Langley,0,125
35,23,2852569,West Beach/Keystone,0,130
1,23,4300949,Northbound Oak Harbor,0,112
1,28,4450949,Northbound Oak Harbor,0,111
50,23,3152569,City Shuttle,0,102
24,24,3601779,Southbound Clinton Ferry,0,80
11,23,3854199,Mt Vernon,0,131
64,28,5552559,Everett Station,0,166
35,28,4902559,West Beach/Keystone,0,100
64,25,2002559,Everett,0,169
4,28,4501749,Northbound Oak Harbor,0,118
42,28,5002559,,0,118
33,28,4800959,,0,136
35,28,4851749,West Beach/Keystone,0,100
46,28,5101749,Scatchet,0,125
9,28,4651749,West Oak Harbor,0,101
57,28,5352559,Stanwood,0,167
33,23,4350959,,0,136
11,28,4704199,Mt Vernon,0,132
64,28,5502559,Terry's Corner,0,166
11,28,4754199,Whidbey,0,132
1,23,4301779,Northbound Oak Harbor,0,115
9,23,2452579,West Oak Harbor,0,102
42,28,5053379,,0,115
58,25,1355029,Camano,0,172
58,25,1305029,Mt Vernon,0,172
4,23,3202579,Northbound Oak Harbor,0,119
35,23,2752579,West Beach/Keystone,0,100
46,23,3052499,Scatchet,0,125
58,26,1603379,Mt Vernon,0,162
35,23,2803389,West Beach/Keystone,0,100
54,23,3102579,City Shuttle,0,130
57,25,1253389,Stanwood,0,167
64,25,2053389,Terry's Corner,0,168
7,23,2504209,East Oak Harbor,0,131
25,24,3504209,SB Oak Harbor,0,146
